Epoch, Train Acc, Test Acc, BCE, Duration
1, 69.92, 76.02, 0.5691, 76.0
2, 80.10, 82.20, 0.4424, 29.8
3, 81.76, 83.92, 0.4077, 29.8
4, 83.13, 84.16, 0.3807, 25.8
5, 84.53, 80.97, 0.3509, 31.2
6, 84.31, 83.70, 0.3507, 28.8
7, 84.61, 86.03, 0.3430, 29.5
8, 85.21, 78.08, 0.3303, 28.3
9, 85.01, 86.06, 0.3340, 28.3
10, 84.40, 86.54, 0.3418, 27.8
11, 85.86, 84.31, 0.3186, 28.8
12, 86.49, 84.88, 0.3059, 28.3
13, 85.83, 83.38, 0.3162, 27.1
14, 86.25, 86.81, 0.3124, 26.9
15, 86.50, 87.67, 0.3057, 28.6
16, 86.36, 87.63, 0.3018, 28.1
17, 87.18, 86.81, 0.2954, 28.2
18, 87.24, 88.07, 0.2920, 27.0
19, 87.89, 86.86, 0.2801, 27.1
20, 87.09, 84.60, 0.2914, 27.3
21, 87.23, 87.14, 0.2883, 28.8
22, 87.52, 86.60, 0.2817, 113.3
23, 87.58, 84.38, 0.2804, 86.3
24, 87.82, 86.42, 0.2800, 30.1
25, 87.47, 88.75, 0.2823, 27.8
26, 88.45, 87.99, 0.2666, 27.9
27, 88.31, 88.43, 0.2698, 29.4
28, 88.80, 89.02, 0.2603, 29.3
29, 88.59, 88.59, 0.2614, 29.8
30, 88.51, 89.42, 0.2679, 29.1
31, 89.01, 89.30, 0.2559, 27.6
32, 87.99, 88.83, 0.2745, 28.2
33, 87.93, 87.90, 0.2725, 30.4
34, 88.49, 89.02, 0.2624, 30.0
35, 88.97, 85.74, 0.2552, 29.0
36, 88.85, 89.74, 0.2542, 28.2
37, 89.29, 88.43, 0.2444, 27.8
38, 88.89, 89.29, 0.2570, 29.2
39, 89.14, 89.78, 0.2528, 29.4
40, 88.84, 89.05, 0.2566, 30.2
41, 88.90, 87.24, 0.2512, 27.8
42, 89.46, 89.25, 0.2432, 27.2
43, 89.46, 88.76, 0.2432, 28.4
44, 89.37, 89.76, 0.2446, 29.0
45, 89.55, 88.98, 0.2418, 29.3
46, 89.80, 90.65, 0.2408, 30.1
47, 89.92, 89.64, 0.2384, 28.8
48, 89.72, 89.54, 0.2394, 27.9
49, 90.18, 90.01, 0.2307, 28.4
50, 89.81, 88.78, 0.2373, 19.1
51, 89.72, 87.57, 0.2383, 19.8
52, 88.89, 90.05, 0.2519, 22.8
53, 89.92, 90.20, 0.2322, 20.6
54, 90.18, 88.71, 0.2341, 22.9
55, 90.07, 86.82, 0.2314, 25.5
56, 90.39, 88.46, 0.2253, 21.1
57, 89.79, 90.15, 0.2350, 18.7
58, 90.54, 90.60, 0.2228, 18.8
59, 89.80, 91.07, 0.2373, 19.7
60, 90.09, 90.65, 0.2311, 18.0
61, 90.59, 89.29, 0.2232, 17.9
62, 90.36, 90.89, 0.2234, 17.9
63, 90.43, 89.27, 0.2263, 17.9
64, 90.21, 90.21, 0.2262, 17.9
65, 90.08, 89.15, 0.2315, 22.3
66, 90.24, 87.16, 0.2266, 29.0
67, 90.57, 90.64, 0.2202, 33.2
68, 90.69, 90.28, 0.2157, 29.7
69, 91.10, 90.84, 0.2090, 29.7
70, 90.55, 86.11, 0.2219, 29.7
71, 91.10, 90.59, 0.2092, 29.5
72, 90.10, 91.09, 0.2294, 28.9
73, 91.15, 86.82, 0.2052, 29.6
74, 90.89, 89.13, 0.2185, 26.2
75, 91.51, 90.75, 0.2030, 18.5
76, 91.07, 88.02, 0.2108, 18.0
77, 91.14, 90.32, 0.2068, 18.0
78, 91.37, 89.62, 0.2023, 18.0
79, 91.18, 90.80, 0.2046, 18.0
80, 91.14, 90.59, 0.2079, 18.0
81, 91.41, 89.98, 0.2062, 18.3
82, 91.33, 90.86, 0.2020, 18.0
83, 91.27, 90.96, 0.2047, 18.3
84, 92.04, 90.82, 0.1933, 18.0
85, 90.94, 88.49, 0.2111, 18.0
86, 91.75, 91.01, 0.1971, 18.0
87, 91.62, 91.70, 0.1956, 18.1
88, 91.68, 90.94, 0.1956, 17.8
89, 91.93, 90.91, 0.1904, 17.8
90, 91.48, 90.06, 0.2005, 17.8
91, 91.50, 91.34, 0.1965, 17.9
92, 92.05, 90.99, 0.1876, 17.8
93, 91.96, 90.87, 0.1934, 17.8
94, 92.04, 91.75, 0.1877, 17.8
95, 91.61, 86.87, 0.1969, 20.8
96, 90.88, 91.06, 0.2122, 19.1
97, 92.12, 88.07, 0.1869, 19.3
98, 92.12, 91.78, 0.1859, 19.3
99, 92.18, 90.79, 0.1846, 19.1
100, 92.32, 90.57, 0.1807, 19.1
101, 92.01, 90.32, 0.1874, 19.2
102, 92.31, 92.15, 0.1820, 18.7
103, 92.19, 90.05, 0.1862, 18.6
104, 92.62, 91.14, 0.1774, 19.3
105, 92.08, 92.73, 0.1896, 18.8
106, 92.63, 88.75, 0.1778, 18.9
107, 92.24, 91.14, 0.1855, 18.9
108, 91.90, 91.87, 0.1887, 18.8
109, 92.55, 91.99, 0.1757, 18.8
110, 92.60, 91.95, 0.1764, 18.7
111, 92.67, 91.31, 0.1775, 18.9
112, 92.33, 92.68, 0.1817, 18.8
113, 92.68, 90.64, 0.1732, 18.7
114, 92.33, 91.67, 0.1817, 18.9
115, 93.10, 92.24, 0.1716, 18.9
116, 92.42, 91.94, 0.1780, 18.8
117, 92.69, 90.50, 0.1738, 18.8
118, 93.09, 92.75, 0.1643, 18.7
119, 92.95, 92.41, 0.1696, 18.9
120, 92.57, 91.13, 0.1780, 109.7
121, 92.72, 89.84, 0.1713, 31.5
122, 93.16, 92.68, 0.1621, 18.7
123, 93.16, 91.99, 0.1656, 18.6
124, 93.52, 92.66, 0.1562, 18.8
125, 92.90, 90.06, 0.1693, 18.5
126, 92.59, 90.18, 0.1774, 17.9
127, 92.91, 91.85, 0.1696, 17.8
128, 93.22, 90.99, 0.1647, 18.0
129, 93.23, 91.48, 0.1578, 18.1
130, 93.16, 91.36, 0.1629, 17.9
131, 92.94, 93.32, 0.1694, 17.9
132, 93.45, 91.94, 0.1573, 17.8
133, 92.64, 91.60, 0.1734, 17.8
134, 93.57, 92.32, 0.1540, 17.7
135, 93.74, 92.85, 0.1524, 17.8
136, 93.39, 90.03, 0.1591, 17.8
137, 93.41, 92.75, 0.1559, 17.8
138, 93.43, 92.58, 0.1561, 18.0
139, 92.96, 92.91, 0.1646, 17.8
140, 93.36, 90.18, 0.1579, 17.8
141, 93.67, 93.67, 0.1511, 18.0
142, 93.88, 92.49, 0.1473, 17.8
143, 93.69, 93.02, 0.1530, 18.1
144, 94.00, 87.72, 0.1473, 17.9
145, 93.48, 92.29, 0.1590, 17.9
146, 93.97, 92.66, 0.1466, 18.0
147, 93.40, 92.56, 0.1563, 23.1
148, 93.59, 93.00, 0.1484, 25.4
149, 93.47, 90.59, 0.1595, 44.9
150, 93.85, 85.91, 0.1511, 17.8
151, 93.50, 91.61, 0.1559, 17.9
152, 92.72, 93.05, 0.1647, 17.9
153, 94.27, 92.21, 0.1378, 17.8
154, 94.11, 92.90, 0.1414, 17.8
155, 94.34, 93.03, 0.1364, 17.9
156, 93.94, 88.02, 0.1465, 17.9
157, 94.04, 92.91, 0.1443, 17.8
158, 94.22, 93.69, 0.1391, 17.8
159, 93.72, 91.77, 0.1524, 17.8
160, 94.07, 92.85, 0.1396, 17.8
161, 94.25, 93.61, 0.1380, 17.8
162, 94.38, 92.27, 0.1349, 17.9
163, 93.91, 93.62, 0.1470, 17.8
164, 94.69, 92.10, 0.1286, 17.8
165, 94.38, 93.12, 0.1362, 17.8
166, 94.30, 91.13, 0.1403, 17.8
167, 94.67, 93.52, 0.1326, 17.8
168, 93.80, 88.19, 0.1496, 17.8
169, 93.77, 93.71, 0.1461, 17.9
170, 94.38, 92.88, 0.1328, 17.9
171, 94.54, 92.98, 0.1341, 17.9
172, 94.72, 92.54, 0.1303, 18.0
173, 93.98, 92.36, 0.1416, 17.8
174, 94.60, 93.39, 0.1285, 17.8
175, 94.82, 92.32, 0.1261, 17.8
176, 94.30, 92.51, 0.1390, 17.9
177, 94.05, 90.50, 0.1401, 17.8
178, 94.72, 93.59, 0.1278, 17.8
179, 94.83, 93.71, 0.1266, 17.9
180, 93.87, 93.02, 0.1430, 17.8
181, 94.93, 91.13, 0.1236, 17.8
182, 94.73, 93.54, 0.1267, 17.8
183, 93.49, 93.07, 0.1517, 17.8
184, 95.04, 93.79, 0.1247, 17.8
185, 94.33, 93.77, 0.1334, 17.8
186, 95.25, 94.20, 0.1157, 17.9
187, 94.25, 93.00, 0.1362, 17.9
188, 95.02, 94.47, 0.1185, 17.9
189, 95.47, 91.01, 0.1140, 18.1
190, 95.27, 93.72, 0.1154, 17.8
191, 94.55, 93.17, 0.1291, 17.8
192, 94.02, 93.28, 0.1409, 17.8
193, 95.10, 93.64, 0.1195, 17.8
194, 95.04, 93.44, 0.1208, 17.8
195, 95.15, 93.91, 0.1164, 18.0
196, 94.21, 93.03, 0.1367, 17.8
197, 94.85, 93.66, 0.1227, 17.8
198, 94.69, 94.04, 0.1271, 17.8
199, 95.12, 93.82, 0.1166, 17.8
200, 94.77, 89.42, 0.1229, 17.8
201, 94.89, 93.47, 0.1238, 17.9
202, 95.51, 93.52, 0.1108, 17.9
203, 95.00, 92.10, 0.1248, 17.9
204, 94.29, 93.20, 0.1364, 17.8
205, 95.04, 92.80, 0.1194, 17.9
206, 94.99, 90.30, 0.1223, 17.7
207, 95.70, 92.91, 0.1066, 17.8
208, 95.40, 91.68, 0.1119, 17.8
209, 95.35, 93.32, 0.1106, 17.9
210, 95.46, 93.72, 0.1107, 17.7
211, 94.82, 93.55, 0.1257, 17.9
212, 95.64, 93.77, 0.1065, 17.9
213, 95.50, 94.21, 0.1114, 17.7
214, 95.21, 92.17, 0.1152, 17.8
215, 95.34, 94.87, 0.1125, 17.9
216, 95.54, 93.45, 0.1076, 17.9
217, 95.30, 94.18, 0.1103, 17.8
218, 94.72, 93.22, 0.1225, 17.8
219, 95.37, 92.90, 0.1110, 17.9
220, 95.00, 91.06, 0.1237, 17.9
221, 96.08, 93.62, 0.0984, 17.8
222, 95.30, 93.88, 0.1133, 17.9
223, 95.72, 93.94, 0.1039, 17.8
224, 94.30, 94.15, 0.1421, 17.8
225, 95.68, 93.98, 0.1063, 17.9
226, 95.83, 94.75, 0.1002, 17.9
227, 96.09, 93.67, 0.0962, 17.8
228, 95.95, 94.28, 0.0973, 17.9
229, 95.96, 94.67, 0.0987, 18.0
230, 95.89, 93.23, 0.1040, 17.8
231, 94.96, 92.91, 0.1179, 17.8
232, 95.33, 94.33, 0.1138, 17.9
