Epoch, Train Acc, Test Acc, BCE, Duration
233, 95.40, 92.34, 0.1070, 17.8
234, 95.82, 93.28, 0.1038, 17.8
235, 95.97, 93.77, 0.0970, 17.9
236, 95.10, 93.00, 0.1167, 17.9
237, 95.68, 94.84, 0.1041, 17.9
238, 95.14, 94.80, 0.1182, 17.9
239, 96.12, 93.99, 0.0961, 18.0
240, 95.68, 94.87, 0.1054, 17.8
241, 95.52, 92.39, 0.1105, 17.8
242, 95.15, 94.04, 0.1184, 17.9
243, 95.91, 93.69, 0.0980, 17.8
244, 95.38, 92.44, 0.1114, 17.7
245, 95.93, 94.40, 0.1023, 18.1
246, 95.78, 93.08, 0.0995, 17.8
247, 95.98, 93.71, 0.0992, 17.8
248, 96.34, 94.69, 0.0955, 17.8
249, 95.41, 90.06, 0.1086, 17.9
250, 95.26, 93.52, 0.1123, 17.8
251, 96.41, 94.33, 0.0868, 17.8
252, 95.97, 93.18, 0.0961, 18.2
253, 95.98, 94.13, 0.0981, 18.7
254, 94.93, 93.59, 0.1251, 18.3
255, 94.79, 92.76, 0.1202, 17.9
256, 96.30, 94.45, 0.0925, 17.9
257, 95.29, 94.84, 0.1124, 17.8
258, 96.36, 92.54, 0.0882, 17.9
259, 96.01, 93.99, 0.0977, 17.8
260, 96.44, 94.62, 0.0860, 17.8
261, 96.23, 94.57, 0.0921, 17.8
262, 95.95, 94.08, 0.0970, 18.0
263, 96.52, 92.83, 0.0878, 17.8
264, 95.52, 94.33, 0.1080, 17.8
265, 95.78, 94.03, 0.1031, 18.0
266, 95.88, 94.69, 0.0975, 17.9
267, 96.35, 93.55, 0.0888, 17.8
268, 96.55, 92.68, 0.0850, 17.9
269, 93.94, 92.73, 0.1471, 17.8
270, 96.06, 94.92, 0.0939, 17.9
271, 96.50, 94.62, 0.0831, 17.8
272, 96.27, 94.94, 0.0921, 17.9
273, 95.52, 94.74, 0.1082, 17.8
274, 96.66, 94.77, 0.0830, 17.8
275, 96.20, 95.07, 0.0916, 17.9
276, 96.07, 93.93, 0.0950, 17.8
277, 96.30, 94.94, 0.0922, 17.8
278, 96.88, 92.88, 0.0780, 17.9
279, 95.61, 94.16, 0.1069, 17.8
280, 96.20, 93.15, 0.0901, 17.8
281, 96.47, 94.77, 0.0873, 17.8
282, 96.78, 94.40, 0.0815, 17.9
283, 94.77, 95.02, 0.1263, 17.8
284, 96.72, 95.09, 0.0808, 17.8
285, 96.57, 94.77, 0.0835, 17.9
286, 95.98, 94.72, 0.0950, 17.9
287, 96.64, 93.94, 0.0827, 17.8
288, 96.45, 93.98, 0.0881, 17.9
289, 95.39, 89.25, 0.1166, 17.9
290, 95.58, 95.04, 0.1089, 17.9
291, 96.99, 94.84, 0.0760, 17.8
292, 97.01, 94.42, 0.0733, 17.9
293, 96.74, 94.40, 0.0824, 17.8
294, 96.62, 94.36, 0.0825, 17.8
295, 96.94, 92.07, 0.0773, 18.0
296, 95.32, 91.43, 0.1113, 17.8
297, 96.10, 94.42, 0.0934, 17.9
298, 95.87, 95.31, 0.0996, 17.9
299, 96.68, 94.35, 0.0830, 17.8
300, 95.84, 95.02, 0.1011, 17.8
