Epoch, Train Acc, Test Acc, BCE, Duration
0, 58.34, 70.27, 1.8854, 22.9
1, 69.68, 75.62, 0.5904, 21.3
2, 75.78, 77.39, 0.5071, 21.6
3, 79.23, 80.93, 0.4583, 22.1
4, 81.82, 82.13, 0.4204, 22.2
5, 81.49, 82.93, 0.4179, 22.6
6, 81.22, 83.57, 0.4225, 25.6
7, 84.08, 84.46, 0.3783, 21.9
8, 83.90, 80.21, 0.3733, 22.7
9, 83.66, 85.20, 0.3752, 22.5
10, 83.25, 84.48, 0.3831, 22.4
11, 84.51, 85.79, 0.3606, 22.5
12, 84.51, 84.90, 0.3601, 22.5
13, 85.33, 83.57, 0.3423, 22.8
14, 83.48, 85.93, 0.3741, 22.6
15, 84.50, 85.81, 0.3556, 27.7
16, 85.55, 86.60, 0.3336, 38.3
17, 83.74, 78.71, 0.3675, 27.3
18, 84.43, 81.15, 0.3539, 21.6
19, 83.79, 86.50, 0.3648, 22.0
20, 85.57, 78.91, 0.3379, 23.5
21, 84.92, 85.76, 0.3489, 24.1
22, 85.79, 86.45, 0.3258, 22.9
23, 86.61, 85.83, 0.3123, 39.8
24, 85.99, 85.88, 0.3250, 38.4
25, 86.31, 86.87, 0.3169, 40.1
26, 87.08, 85.03, 0.2997, 41.0
27, 86.80, 86.97, 0.3020, 32.6
28, 87.34, 85.36, 0.2929, 23.8
29, 87.41, 87.82, 0.2893, 22.1
30, 87.57, 86.64, 0.2893, 27.2
31, 86.88, 83.03, 0.3012, 22.4
32, 84.74, 85.73, 0.3372, 23.2
33, 87.63, 87.58, 0.2795, 23.6
34, 87.22, 84.73, 0.2927, 23.3
35, 86.67, 87.78, 0.3098, 23.1
36, 88.39, 88.21, 0.2722, 23.2
37, 87.73, 88.16, 0.2788, 23.1
38, 85.82, 85.05, 0.3159, 22.5
39, 86.45, 87.73, 0.3118, 22.8
