Epoch, Train Acc, Test Acc, BCE, Duration
1, 55.32, 66.64, 7.3767, 19.3
2, 70.47, 75.23, 0.5715, 19.8
3, 76.64, 80.29, 0.4936, 20.3
4, 80.52, 78.96, 0.4300, 19.9
5, 82.40, 83.50, 0.3902, 21.0
6, 76.80, 55.26, 0.4522, 21.2
7, 77.35, 82.54, 0.4732, 21.5
8, 82.30, 84.98, 0.3847, 20.5
9, 83.66, 81.05, 0.3645, 20.7
10, 84.53, 84.61, 0.3400, 20.8
11, 84.49, 85.10, 0.3430, 22.1
12, 85.22, 80.23, 0.3397, 20.9
13, 85.54, 86.40, 0.3211, 21.5
14, 85.56, 82.17, 0.3193, 21.6
15, 82.29, 85.07, 0.3797, 21.9
16, 84.78, 83.50, 0.3377, 24.7
17, 85.04, 86.55, 0.3251, 22.7
18, 85.22, 86.08, 0.3238, 21.0
19, 85.72, 86.23, 0.3117, 20.8
20, 83.80, 85.69, 0.3421, 20.9
21, 86.19, 86.25, 0.2999, 21.3
22, 86.15, 86.67, 0.2996, 21.5
23, 86.64, 87.31, 0.2934, 20.9
24, 84.04, 83.87, 0.3498, 21.0
25, 86.32, 84.48, 0.3028, 22.6
26, 85.79, 85.12, 0.3151, 21.6
27, 85.93, 86.64, 0.3086, 20.9
28, 87.42, 86.72, 0.2847, 27.0
29, 86.13, 87.41, 0.3098, 29.7
30, 86.55, 86.32, 0.2994, 32.4
31, 86.65, 74.66, 0.2983, 33.2
32, 84.83, 87.31, 0.3377, 32.3
33, 86.22, 86.64, 0.3063, 33.0
34, 87.16, 86.79, 0.2872, 33.1
35, 87.44, 86.96, 0.2854, 32.3
36, 87.39, 83.20, 0.2873, 28.0
37, 85.42, 87.77, 0.3235, 21.1
38, 87.60, 84.46, 0.2807, 22.6
39, 87.92, 88.02, 0.2743, 20.0
40, 87.27, 81.10, 0.2825, 20.2
