Epoch, Train Acc, Test Acc, BCE, Duration
1, 62.32, 67.86, 0.7653, 239.3
2, 73.38, 78.08, 0.5363, 41.4
3, 78.30, 80.83, 0.4720, 40.2
4, 79.84, 82.67, 0.4421, 41.2
5, 81.40, 83.52, 0.4162, 40.8
6, 82.14, 81.51, 0.4072, 39.9
7, 83.58, 83.52, 0.3762, 39.7
8, 83.33, 85.07, 0.3790, 40.2
9, 84.98, 83.48, 0.3473, 40.5
10, 84.41, 85.14, 0.3554, 39.6
11, 84.15, 86.50, 0.3586, 39.2
12, 85.28, 79.74, 0.3343, 39.9
13, 85.60, 85.81, 0.3299, 38.8
14, 86.11, 85.42, 0.3196, 54.8
15, 85.46, 86.32, 0.3327, 51.1
16, 86.14, 86.76, 0.3140, 53.0
17, 85.48, 86.37, 0.3278, 43.6
18, 85.36, 87.06, 0.3277, 42.0
19, 86.88, 87.53, 0.2996, 40.7
20, 87.31, 87.72, 0.2948, 42.4
21, 87.26, 86.92, 0.2943, 41.2
22, 86.81, 87.18, 0.2973, 41.2
23, 87.17, 86.87, 0.2925, 41.4
24, 86.17, 84.24, 0.3121, 40.7
25, 86.90, 87.95, 0.2961, 40.8
26, 88.20, 87.60, 0.2756, 39.8
27, 87.91, 88.36, 0.2795, 40.1
28, 87.62, 83.03, 0.2854, 48.5
29, 86.08, 87.46, 0.3125, 48.9
30, 87.91, 88.16, 0.2811, 46.0
31, 87.90, 80.41, 0.2764, 46.6
32, 85.25, 87.31, 0.3233, 43.3
33, 86.36, 87.35, 0.3029, 47.6
34, 88.25, 88.51, 0.2724, 46.3
35, 88.65, 88.80, 0.2631, 46.2
36, 88.62, 84.83, 0.2645, 47.3
37, 87.64, 86.03, 0.2824, 46.8
38, 88.13, 88.39, 0.2726, 44.7
39, 88.84, 89.12, 0.2576, 49.7
40, 88.62, 86.11, 0.2642, 44.5
