Epoch, Train Acc, Test Acc, BCE, Duration
1, 71.74, 78.45, 0.5502, 19.3
2, 79.77, 82.57, 0.4353, 14.2
3, 82.58, 67.64, 0.3790, 14.1
4, 82.04, 84.75, 0.3832, 13.9
5, 83.85, 85.24, 0.3586, 14.1
6, 84.77, 78.34, 0.3416, 13.8
7, 84.91, 85.30, 0.3409, 14.1
8, 84.49, 82.30, 0.3446, 14.8
9, 85.34, 81.07, 0.3265, 15.8
10, 85.87, 83.80, 0.3197, 13.7
11, 85.93, 87.09, 0.3166, 13.8
12, 85.67, 86.99, 0.3194, 16.2
13, 86.10, 87.80, 0.3104, 14.7
14, 86.87, 77.17, 0.2976, 16.5
15, 86.65, 87.70, 0.2998, 16.7
16, 86.73, 87.87, 0.2997, 17.2
17, 86.92, 87.95, 0.2975, 17.4
18, 87.73, 88.59, 0.2808, 18.3
19, 87.31, 82.76, 0.2853, 18.4
20, 86.79, 86.18, 0.2985, 17.1
21, 87.39, 84.31, 0.2866, 18.1
22, 87.72, 86.77, 0.2786, 21.9
23, 88.04, 88.43, 0.2786, 20.7
24, 88.17, 85.17, 0.2691, 21.2
25, 88.02, 89.17, 0.2746, 21.0
26, 88.18, 85.20, 0.2708, 21.5
27, 87.91, 89.02, 0.2697, 20.7
28, 88.57, 87.21, 0.2574, 21.5
29, 88.26, 88.27, 0.2660, 21.3
30, 88.39, 88.65, 0.2652, 21.5
31, 88.60, 87.94, 0.2650, 21.2
32, 88.89, 89.96, 0.2542, 21.5
33, 88.77, 89.27, 0.2565, 21.8
34, 88.33, 89.13, 0.2665, 22.4
35, 88.65, 86.15, 0.2598, 22.1
36, 89.34, 89.07, 0.2465, 22.1
37, 89.13, 87.11, 0.2486, 21.5
38, 89.28, 84.98, 0.2472, 21.8
39, 88.85, 88.95, 0.2484, 21.7
40, 89.66, 90.52, 0.2347, 22.6
41, 88.65, 89.24, 0.2661, 21.0
42, 89.20, 85.73, 0.2443, 21.5
43, 88.79, 89.35, 0.2519, 21.6
44, 90.17, 90.45, 0.2287, 21.4
45, 89.74, 90.65, 0.2345, 21.3
46, 89.96, 90.01, 0.2300, 21.5
47, 89.39, 90.50, 0.2417, 21.6
48, 89.64, 88.75, 0.2366, 21.8
49, 90.38, 90.42, 0.2249, 21.8
50, 90.50, 88.11, 0.2216, 21.7
