Epoch, Train Acc, Test Acc, BCE, Duration
1, 71.61, 80.14, 0.5539, 34.3
2, 80.19, 83.08, 0.4345, 20.4
3, 82.04, 84.07, 0.3995, 20.3
4, 83.30, 85.52, 0.3685, 20.5
5, 83.11, 84.58, 0.3689, 20.1
6, 84.29, 82.96, 0.3461, 19.8
7, 84.69, 82.49, 0.3387, 20.1
8, 85.54, 86.81, 0.3229, 19.8
9, 85.47, 86.89, 0.3279, 20.6
10, 85.51, 86.45, 0.3237, 20.0
11, 85.81, 83.60, 0.3190, 20.5
12, 85.60, 85.78, 0.3239, 19.9
13, 86.22, 86.35, 0.3116, 20.4
14, 86.58, 86.37, 0.3043, 20.1
15, 86.64, 83.95, 0.3006, 20.0
16, 87.09, 87.95, 0.2948, 19.9
17, 87.43, 87.55, 0.2900, 19.9
18, 86.86, 81.14, 0.3010, 20.7
19, 87.10, 87.90, 0.2963, 20.5
20, 87.77, 88.14, 0.2794, 20.9
21, 87.68, 87.73, 0.2851, 20.4
22, 87.77, 88.22, 0.2826, 20.2
23, 88.08, 85.47, 0.2744, 31.3
24, 88.20, 88.27, 0.2722, 39.0
25, 88.83, 87.33, 0.2599, 28.4
26, 88.18, 87.08, 0.2689, 19.8
27, 88.08, 88.97, 0.2680, 20.1
28, 88.44, 89.66, 0.2625, 30.4
29, 89.21, 87.63, 0.2543, 27.0
30, 88.20, 83.90, 0.2695, 35.8
31, 88.95, 87.28, 0.2534, 40.0
32, 88.81, 88.44, 0.2605, 40.7
33, 89.20, 88.41, 0.2492, 40.1
34, 88.96, 88.78, 0.2552, 39.3
35, 88.94, 89.69, 0.2550, 38.8
36, 89.11, 89.12, 0.2486, 39.7
37, 89.28, 88.24, 0.2473, 39.2
38, 89.64, 84.82, 0.2405, 40.9
39, 89.43, 85.71, 0.2437, 38.2
40, 89.54, 89.94, 0.2427, 39.8
41, 89.83, 90.06, 0.2369, 40.4
42, 89.21, 89.66, 0.2434, 40.6
43, 89.35, 89.47, 0.2449, 42.0
44, 90.26, 90.28, 0.2325, 40.9
45, 89.29, 90.33, 0.2433, 43.8
46, 90.37, 89.62, 0.2240, 46.4
47, 89.64, 89.42, 0.2361, 43.9
48, 89.89, 87.84, 0.2347, 38.4
49, 89.64, 90.23, 0.2380, 37.5
50, 89.74, 90.77, 0.2338, 36.7
