Epoch, Train Acc, Test Acc, BCE, Duration
1, 67.54, 71.32, 0.6023, 27.7
2, 75.80, 78.83, 0.5072, 28.8
3, 79.60, 81.49, 0.4492, 29.1
4, 80.91, 82.87, 0.4215, 29.0
5, 82.55, 82.27, 0.3931, 28.8
6, 83.02, 84.19, 0.3817, 28.4
7, 83.44, 84.78, 0.3734, 28.2
8, 84.49, 83.97, 0.3521, 28.5
9, 84.16, 84.92, 0.3618, 28.6
10, 85.02, 84.11, 0.3425, 29.0
11, 85.58, 86.13, 0.3335, 29.3
12, 85.78, 86.55, 0.3280, 28.7
13, 85.45, 83.85, 0.3311, 27.2
14, 84.93, 86.43, 0.3321, 28.2
15, 86.08, 84.85, 0.3138, 27.8
16, 85.82, 85.76, 0.3208, 28.9
17, 86.76, 87.53, 0.3034, 28.9
18, 86.51, 77.76, 0.3064, 28.8
19, 84.02, 86.87, 0.3542, 28.1
20, 85.91, 84.16, 0.3185, 28.5
21, 86.17, 87.14, 0.3138, 28.8
22, 86.85, 87.75, 0.3013, 28.6
23, 86.84, 81.00, 0.2989, 28.7
24, 85.79, 87.77, 0.3204, 29.0
25, 87.67, 87.94, 0.2869, 27.5
26, 86.99, 87.85, 0.2960, 28.0
27, 87.66, 86.79, 0.2853, 29.0
28, 87.04, 87.65, 0.2920, 29.2
29, 87.57, 87.78, 0.2886, 29.1
30, 88.05, 88.44, 0.2737, 28.6
31, 87.75, 84.76, 0.2764, 28.3
32, 87.96, 87.63, 0.2773, 29.2
33, 87.89, 87.62, 0.2764, 27.9
34, 88.23, 87.35, 0.2694, 26.8
35, 87.48, 84.60, 0.2831, 37.0
36, 88.18, 88.38, 0.2729, 61.3
37, 87.91, 88.17, 0.2771, 29.4
38, 87.91, 87.26, 0.2738, 28.7
39, 88.13, 88.83, 0.2729, 27.3
40, 89.01, 88.70, 0.2577, 28.9
41, 88.58, 86.89, 0.2629, 28.5
42, 88.05, 89.34, 0.2735, 27.2
43, 89.15, 88.44, 0.2527, 27.6
44, 88.97, 89.02, 0.2565, 28.2
45, 89.39, 88.58, 0.2481, 27.3
46, 89.38, 88.95, 0.2504, 28.6
47, 87.48, 87.78, 0.2823, 27.6
48, 88.89, 90.01, 0.2595, 27.8
49, 89.60, 87.06, 0.2440, 28.4
50, 88.68, 87.26, 0.2568, 28.9
51, 89.67, 89.07, 0.2427, 19.8
52, 89.80, 89.81, 0.2366, 18.3
53, 89.74, 89.94, 0.2385, 27.1
54, 88.53, 90.32, 0.2588, 29.7
55, 89.47, 89.00, 0.2439, 29.0
56, 89.90, 88.95, 0.2378, 28.6
57, 89.55, 89.22, 0.2455, 28.9
58, 90.03, 90.06, 0.2355, 28.6
59, 87.64, 87.38, 0.2745, 29.0
60, 88.60, 89.03, 0.2567, 28.8
61, 90.32, 89.94, 0.2296, 29.1
62, 89.56, 89.83, 0.2432, 29.2
63, 90.10, 89.98, 0.2309, 27.9
64, 90.55, 90.99, 0.2249, 27.9
65, 90.43, 90.89, 0.2238, 28.6
66, 90.38, 89.96, 0.2280, 29.6
67, 90.59, 89.96, 0.2204, 29.7
68, 90.31, 89.39, 0.2263, 29.5
69, 90.24, 88.53, 0.2279, 29.6
70, 89.91, 84.71, 0.2306, 28.2
71, 89.29, 89.61, 0.2468, 27.2
72, 90.66, 90.62, 0.2264, 28.5
73, 90.50, 88.17, 0.2218, 29.3
74, 90.19, 90.43, 0.2293, 29.6
75, 90.29, 90.99, 0.2230, 29.1
76, 90.75, 89.81, 0.2181, 27.3
77, 91.09, 90.86, 0.2111, 27.9
78, 91.07, 87.94, 0.2116, 27.1
79, 90.95, 89.56, 0.2112, 29.6
80, 91.29, 91.06, 0.2061, 29.1
81, 90.60, 89.83, 0.2191, 29.4
82, 91.45, 91.21, 0.2065, 28.9
83, 91.21, 90.59, 0.2083, 27.5
84, 90.91, 90.62, 0.2155, 29.0
85, 89.78, 85.49, 0.2357, 29.2
86, 90.58, 91.28, 0.2225, 28.9
87, 91.60, 90.72, 0.2027, 29.2
88, 91.81, 91.01, 0.1970, 29.3
89, 91.61, 89.57, 0.2024, 28.1
90, 91.27, 89.39, 0.2079, 29.3
91, 91.92, 91.60, 0.1955, 29.1
92, 92.36, 89.83, 0.1866, 28.5
93, 91.85, 91.51, 0.1972, 27.6
94, 91.62, 91.50, 0.2002, 28.5
95, 91.85, 90.30, 0.1942, 28.9
96, 90.98, 89.54, 0.2147, 28.5
97, 91.58, 91.53, 0.2013, 28.9
98, 91.86, 91.75, 0.1941, 29.2
99, 92.52, 91.68, 0.1851, 28.7
100, 91.76, 89.74, 0.1981, 29.1
