Epoch, Train Acc, Test Acc, BCE, Duration
1, 64.47, 71.55, 0.6327, 21.9
2, 75.33, 77.90, 0.5167, 19.6
3, 79.51, 81.17, 0.4538, 18.4
4, 80.00, 82.67, 0.4379, 18.4
5, 83.00, 83.55, 0.3932, 18.7
6, 83.89, 84.41, 0.3724, 20.2
7, 84.14, 84.31, 0.3657, 24.5
8, 82.62, 83.01, 0.3893, 21.8
9, 83.89, 84.53, 0.3684, 19.0
10, 85.01, 84.56, 0.3430, 18.9
11, 85.56, 84.95, 0.3330, 18.4
12, 84.04, 85.17, 0.3543, 18.9
13, 85.57, 86.23, 0.3305, 19.1
14, 86.09, 86.77, 0.3180, 20.4
15, 85.85, 86.65, 0.3241, 25.4
16, 86.60, 86.10, 0.3077, 31.2
17, 86.81, 86.91, 0.3053, 32.0
18, 86.83, 85.98, 0.3033, 32.4
19, 86.49, 87.13, 0.3072, 36.4
20, 86.64, 87.50, 0.3006, 39.1
21, 86.70, 87.57, 0.3011, 35.5
22, 87.40, 87.30, 0.2883, 33.7
23, 87.38, 87.46, 0.2915, 76.5
24, 87.70, 87.97, 0.2806, 80.0
25, 87.78, 88.26, 0.2837, 78.8
26, 88.04, 86.77, 0.2761, 81.1
27, 88.26, 87.08, 0.2725, 77.8
28, 87.67, 87.75, 0.2831, 78.5
29, 87.22, 88.41, 0.2893, 78.2
30, 88.27, 88.59, 0.2706, 78.4
31, 86.47, 86.52, 0.3035, 79.2
32, 88.20, 88.36, 0.2730, 77.6
33, 88.56, 86.13, 0.2687, 77.6
34, 88.66, 89.44, 0.2636, 78.5
35, 88.32, 88.80, 0.2673, 78.0
36, 89.02, 89.56, 0.2622, 77.9
37, 88.72, 88.44, 0.2624, 77.6
38, 88.75, 88.04, 0.2594, 78.2
39, 87.32, 88.05, 0.2835, 77.8
40, 89.00, 88.43, 0.2535, 77.8
